year,SE_field,broad_field,detailed_field,sex,value
2020,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,648"
2020,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,648"
2020,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,089"
2020,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,418"
2020,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"3,892"
2020,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,526"
2020,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,671"
2020,Science and engineering,Life sciences,Health sciences,Male,915
2020,Science and engineering,Life sciences,Health sciences,Female,"1,756"
2020,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,763"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,763"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,669"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,092"
2020,Science and engineering,Physical sciences and earth sciences,Chemistry+D16,Unknown sex,2
2020,Science and engineering,Engineering,Total for selected values,Total for selected values,796
2020,Science and engineering,Engineering,Civil engineering,Total for selected values,796
2020,Science and engineering,Engineering,Civil engineering,Male,586
2020,Science and engineering,Engineering,Civil engineering,Female,210
2019,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,904"
2019,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,904"
2019,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,265"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,681"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,192"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,488"
2019,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,1
2019,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,584"
2019,Science and engineering,Life sciences,Health sciences,Male,857
2019,Science and engineering,Life sciences,Health sciences,Female,"1,727"
2019,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,939"
2019,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,939"
2019,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,788"
2019,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,151"
2019,Science and engineering,Engineering,Total for selected values,Total for selected values,700
2019,Science and engineering,Engineering,Civil engineering,Total for selected values,700
2019,Science and engineering,Engineering,Civil engineering,Male,541
2019,Science and engineering,Engineering,Civil engineering,Female,159
2018,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,796"
2018,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,796"
2018,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,313"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,782"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,079"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,700"
2018,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,3
2018,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,531"
2018,Science and engineering,Life sciences,Health sciences,Male,823
2018,Science and engineering,Life sciences,Health sciences,Female,"1,708"
2018,Science and engineering,Physical sciences and earth sciences,Total for selected values,Total for selected values,"2,808"
2018,Science and engineering,Physical sciences and earth sciences,Chemistry,Total for selected values,"2,808"
2018,Science and engineering,Physical sciences and earth sciences,Chemistry,Male,"1,742"
2018,Science and engineering,Physical sciences and earth sciences,Chemistry,Female,"1,066"
2018,Science and engineering,Engineering,Total for selected values,Total for selected values,675
2018,Science and engineering,Engineering,Civil engineering,Total for selected values,675
2018,Science and engineering,Engineering,Civil engineering,Male,505
2018,Science and engineering,Engineering,Civil engineering,Female,170
2017,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"14,473"
2017,Science and engineering,Total for selected values,Total for selected values,Total for selected values,"14,473"
2017,Science and engineering,Life sciences,Total for selected values,Total for selected values,"11,061"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Total for selected values,"8,566"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Male,"4,056"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Female,"4,508"
2017,Science and engineering,Life sciences,Biological and biomedical sciences,Unknown sex,2
2017,Science and engineering,Life sciences,Health sciences,Total for selected values,"2,495"
2017,Science and engineering,Life sciences,Health sciences,Male,801
